ATTEMPT_TIMES,COST,GAP
1,24091,13.1989
2,22577,6.08495
3,22517,5.80303
4,22658,6.46556
5,22022,3.47712
6,23262,9.30364
7,24865,16.8358
8,23032,8.22291
9,22944,7.80942
10,24104,13.26
11,22741,6.85556
12,22740,6.85086
13,23299,9.47749
14,22667,6.50785
15,22987,8.01147
16,23421,10.0507
17,24067,13.0862
18,23512,10.4783
19,21981,3.28447
20,23237,9.18617
21,22910,7.64966
22,24191,13.6688
23,23964,12.6022
24,24226,13.8333
25,23161,8.82906
26,23268,9.33183
27,24256,13.9743
28,23262,9.30364
29,22234,4.47326
30,22135,4.00808
