ATTEMPT_TIMES,COST,GAP
1,5633,0.231317
2,5653,0.587189
3,5633,0.231317
4,5631,0.19573
5,5635,0.266904
6,5631,0.19573
7,5629,0.160142
8,5627,0.124555
9,5625,0.088968
10,5622,0.0355872
11,5628,0.142349
12,5627,0.124555
13,5621,0.0177936
14,5625,0.088968
15,5623,0.0533808
16,5626,0.106762
17,5634,0.24911
18,5646,0.462633
19,5642,0.391459
20,5632,0.213523
21,5629,0.160142
22,5640,0.355872
23,5624,0.0711744
24,5626,0.106762
25,5631,0.19573
26,5620,0
27,5626,0.106762
28,5625,0.088968
29,5635,0.266904
30,5637,0.302491
