ATTEMPT_TIMES,COST,GAP
1,16234,12.5641
2,16141,11.9193
3,15896,10.2205
4,16724,15.9617
5,16384,13.6042
6,15845,9.86687
7,15577,8.0086
8,16777,16.3292
9,16775,16.3154
10,15886,10.1512
11,15525,7.64804
12,15667,8.63264
13,15138,4.96464
14,16272,12.8276
15,17506,21.384
16,17023,18.0349
17,16313,13.1119
18,15038,4.27125
19,16455,14.0965
20,15557,7.86992
21,16719,15.9271
22,16119,11.7667
23,16698,15.7814
24,18235,26.4388
25,17006,17.9171
26,15947,10.5741
27,17633,22.2646
28,16529,14.6096
29,17099,18.5619
30,17508,21.3979
